عدد الساعات لمسجل عليها,المعدل التراكمي التقريبي من 100,نسبة الحضور في جميع المقررات من 100,عدد المرات التي تأخرت بها عن تسديد القسط,عدد المرات التي لم تتأخر بها عن تسديد القسط,عدد الاخوة والاخوات الطلاب في التعليم الجامعي الخاص,قيمة القسط الفصلي بشكل تقديري,عدد الاشخاص العاملين بالاسرة,بعد سكن الطالب عن مركز الجامعة بالكيلو متر,target_class,target_delay_days,السنة_الدراسية_ord,الدخل_الشهري_ord,هل_تعمل_bin,هل_سبق_تأخر_bin,أقساط_سابقة_غير_مسددة_bin,الفرع_علوم طبية وصحية,الفرع_هندسة مدنية,الفرع_هندسة معلوماتية,من المسؤول عن دفع القسط_الطالب,من المسؤول عن دفع القسط_جهة داعمة,من المسؤول عن دفع القسط_منحة,المحافظة_اللاذقية,المحافظة_حلب,المحافظة_حماه,المحافظة_حمص,المحافظة_درعا,المحافظة_دمشق,المحافظة_دير الزور,المحافظة_ريف دمشق,السكن_مخيم,السكن_ملك
6.0,83.0,95,1.0,7.0,1.0,230.0,1,5.0,1,1.0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,80.0,60,5.0,10.0,4.0,50.0,2,95.0,1,20.0,4,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,80.4,60,2.0,3.0,1.0,170.0,2,6.0,1,40.0,2,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
6.0,70.0,75,1.0,14.0,1.0,100.0,3,75.0,1,1.0,4,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
9.0,70.0,78,6.0,2.0,1.0,185.0,2,250.0,1,5.0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9.0,74.0,50,1.0,7.0,1.0,150.0,3,160.0,1,7.0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,80.0,50,1.0,1.0,1.0,90.0,2,15.0,1,1.0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.0,70.0,60,1.0,20.0,2.0,400.0,3,4.0,1,1.0,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,85,1.0,6.0,2.0,200.0,2,20.0,1,2.0,3,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
9.0,85.0,95,7.0,2.0,4.0,200.0,1,3.0,0,100.0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,50.0,80,4.0,2.0,1.0,183.0,1,45.0,1,30.0,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9.0,85.0,93,1.0,8.0,1.0,150.0,1,20.0,1,7.0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18.0,75.0,100,1.0,4.0,2.0,400.0,1,10.0,1,3.0,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,70.0,50,15.0,4.0,1.0,150.0,2,8.0,0,10.0,2,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
9.0,75.0,50,5.0,1.0,4.0,150.0,2,120.0,0,30.0,3,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18.0,80.0,80,2.0,7.0,1.0,150.0,1,100.0,1,40.0,4,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,65.0,60,1.0,6.0,1.0,130.0,3,5.0,1,1.0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,65.0,60,1.0,6.0,1.0,130.0,2,5.0,1,1.0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,72.5,90,4.0,4.0,2.0,200.0,1,10.0,1,20.0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,75.0,80,2.0,6.0,1.0,250.0,2,80.0,1,10.0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,70.0,1,1.0,1.0,1.0,100.0,2,100.0,1,1.0,4,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,72.0,65,3.0,6.0,1.0,200.0,1,55.0,1,5.0,4,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3.0,70.0,60,3.0,8.0,1.0,300.0,6,5.0,1,30.0,3,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,75.0,60,3.0,2.0,1.0,150.0,1,80.0,1,13.0,3,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
9.0,74.0,40,3.0,7.0,1.0,135.0,1,7.0,1,7.0,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,70.0,45,1.0,10.0,1.0,200.0,2,90.0,1,5.0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
30.0,70.0,100,2.0,1.0,2.0,1000.0,2,10.0,0,30.0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32.0,85.0,100,1.0,1.0,1.0,450.0,1,120.0,1,10.0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9.0,80.0,100,4.0,2.0,2.0,250.0,2,1.0,1,4.0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12.0,70.0,40,0.0,5.0,1.0,200.0,3,170.0,1,0.0,3,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,85.0,70,1.0,5.0,1.0,100.0,2,2.0,1,3.0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,77.0,50,2.0,1.0,1.0,500.0,2,130.0,1,30.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
